,n,rmse,mae,r2,nasa_score,train_engines,train_sequences
100% engines (reference),100.0,14.839826983044158,11.328248419761657,0.8628651088046271,440.12630184422846,80.0,14459.0
50% engines,100.0,16.00311828276898,11.420714030265808,0.8405224623000995,482.90764103814894,40.0,6890.0
30% engines,100.0,15.966484366677529,11.960711984634399,0.841251770129629,447.88705825017985,24.0,4124.0
15% engines,100.0,20.761809657010847,15.159405784606934,0.7315763970352791,843.4889253790731,12.0,2044.0
30% prefix (flawed design),100.0,38.98053359226388,34.85372520446777,0.053793666577340415,8878.0094601538,80.0,2678.0
30% engines + noise 0.05,100.0,16.494217735455894,12.426736044883729,0.8305842675658933,436.9685478797182,24.0,16496.0
30% engines + noise 0.1,100.0,16.56620457277725,12.652584295272828,0.8291022553559956,477.5431590792985,24.0,16496.0
30% engines + noise 0.25,100.0,16.404838953699308,12.566906266212463,0.8324153511439704,409.6752266080532,24.0,16496.0
