,n,nominal,coverage,mean_width,median_width,interval_score,calibration_error,rmse,quantile_crossing_rate
MC dropout,100.0,0.95,0.63,22.693890419006348,23.995071411132812,162.8070076370238,0.31999999999999995,15.179005401464382,0.0
MC dropout + conformal (adaptive),100.0,0.95,0.94,60.310734345997034,63.76872491697705,84.16420854597007,0.010000000000000009,15.179005401464382,0.0
MC dropout + conformal (absolute),100.0,0.95,0.94,61.83210754394531,61.83210754394531,82.78662872314452,0.010000000000000009,15.179005401464382,0.0
Deep ensemble,100.0,0.95,0.42,15.129975080490112,12.566459655761719,214.00705561637864,0.53,13.84147374953923,0.0
Deep ensemble + conformal (adaptive),100.0,0.95,0.94,68.71147286108338,57.069489300627374,90.2266140589722,0.010000000000000009,13.84147374953923,0.0
Deep ensemble + conformal (absolute),100.0,0.95,0.95,59.042449951171875,59.042449951171875,74.11959686279295,0.0,13.84147374953923,0.0
Quantile regression,100.0,0.95,0.94,54.02266423463821,63.26412773132324,67.11153180360792,0.010000000000000009,14.938638103693162,0.0
Quantile regression + CQR,100.0,0.95,0.96,59.03676335573196,68.27822685241699,67.21209752321244,0.010000000000000009,14.938638103693162,0.0
