,n,rmse,mae,r2,nasa_score,target_engines
zero-shot,100.0,25.59484515140299,19.174963722229005,0.572944188718008,5859.721167777262,0.0
fine-tuned @ 10%,100.0,20.86581439538977,15.27279088973999,0.7161752244466071,2551.112056196163,8.0
scratch @ 10%,100.0,21.992898218416183,16.011688492298127,0.6846850576345507,2183.6265445719678,8.0
fine-tuned @ 30%,100.0,20.249207233716042,14.581206135749817,0.7327020221392514,2217.388191175486,24.0
scratch @ 30%,100.0,18.63187166110725,14.257319731712341,0.7736958118972086,1140.9284211378704,24.0
fine-tuned @ 100%,100.0,19.906497323716554,14.141220226287842,0.7416732840617113,2431.4432289133983,80.0
scratch @ 100%,100.0,12.784700841901891,9.426294889450073,0.8934482066959002,317.19298509606375,80.0
