,n,rmse,mae,r2,nasa_score,seed
seed 42,100.0,15.146214077342801,11.336607847213745,0.8571440041742564,468.3396060962427,42.0
seed 43,100.0,14.492013633645627,10.510475997924805,0.8692180649040031,444.9621871213004,43.0
seed 44,100.0,15.34358544229196,11.38513277053833,0.8533966132168975,592.5500941848057,44.0
seed 45,100.0,14.38219766020519,10.958346300125122,0.8711926049084301,390.8832820992068,45.0
seed 46,100.0,13.437860587788055,10.139130201339722,0.8875523060421688,296.2318767651786,46.0
ensemble mean,100.0,13.84147374953923,10.176953611373902,0.8806960128658289,363.97466565044186,
