,n,rmse,mae,r2,nasa_score,regimes,faults,train_engines
FD001 XGBoost,100.0,12.38286842713551,9.305022747516633,0.904515515455821,236.99656802750442,1.0,1.0,80.0
FD001 LSTM,100.0,17.207238030679328,12.76205020904541,0.815620503781005,757.714546622166,1.0,1.0,80.0
FD002 XGBoost,259.0,13.453766244190438,9.75348966002004,0.9018300860324955,1035.1093249678681,6.0,1.0,208.0
FD002 LSTM,259.0,14.700105501881303,10.779574878427512,0.8827989349163611,1190.0942788912153,6.0,1.0,208.0
FD003 XGBoost,100.0,13.071136323243913,9.415498747825623,0.8886202313789087,350.9999657155183,1.0,2.0,80.0
FD003 LSTM,100.0,18.653736829738932,13.228232226371766,0.7731643480960677,1955.8244552174872,1.0,2.0,80.0
FD004 XGBoost,248.0,14.998983128795555,10.047024217344099,0.8782223565009399,1352.410110385221,6.0,2.0,199.0
FD004 LSTM,248.0,16.57431828996034,12.276666898881235,0.8512985230893078,1339.5732054260534,6.0,2.0,199.0
